"Node","Matches"
"UPBOX.170:AS
odat[23] = idat[29];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 23, 23), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 29, 29)]"
"Leaf_85:AL","[]"
"USBOXKEY.225:CA","[]"
"USBOXKEY.219:BS
odat = 4'h5;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"79:NS
dreg <= idat;","[('PRESENT_ENCRYPT_TB.dut.dreg[63:0]', 63, 0), ('PRESENT_ENCRYPT_TB.idat[63:0]', 63, 0)]"
"USBOX.224:BS
odat = 4'hA;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOXKEY.220:BS
odat = 4'h6;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"USBOX.220:BS
odat = 4'h6;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOX.Leaf_216:AL","[]"
"UPBOX.157:AS
odat[4] = idat[16];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 4, 4), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 16, 16)]"
"UPBOX.181:AS
odat[57] = idat[39];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 57, 57), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 39, 39)]"
"UPBOX.172:AS
odat[55] = idat[31];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 55, 55), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 31, 31)]"
"USBOXKEY.227:BS
odat = 4'hE;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"UPBOX.180:AS
odat[41] = idat[38];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 41, 41), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 38, 38)]"
"USBOXKEY.219:CA","[]"
"USBOXKEY.221:CA","[]"
"51:AS
kdat2[14:0] = kdat1[14:0];","[('PRESENT_ENCRYPT_TB.dut.kdat2[79:0]', 14, 0), ('PRESENT_ENCRYPT_TB.dut.kdat1[79:0]', 14, 0)]"
"UPBOX.163:AS
odat[37] = idat[22];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 37, 37), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 22, 22)]"
"UPBOX.198:AS
odat[61] = idat[55];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 61, 61), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 55, 55)]"
"USBOXKEY.224:BS
odat = 4'hA;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"USBOX.231:CA","[]"
"77:BL","[]"
"UPBOX.184:AS
odat[42] = idat[42];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 42, 42), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 42, 42)]"
"UPBOX.158:AS
odat[20] = idat[17];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 20, 20), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 17, 17)]"
"UPBOX.169:AS
odat[7] = idat[28];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 7, 7), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 28, 28)]"
"UPBOX.176:AS
odat[40] = idat[34];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 40, 40), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 34, 34)]"
"UPBOX.193:AS
odat[44] = idat[50];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 44, 44), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 50, 50)]"
"USBOX.223:CA","[]"
"USBOX.222:BS
odat = 4'h9;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"UPBOX.183:AS
odat[26] = idat[41];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 26, 26), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 41, 41)]"
"117:IF","[]"
"UPBOX.164:AS
odat[53] = idat[23];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 53, 53), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 23, 23)]"
"UPBOX.166:AS
odat[22] = idat[25];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 22, 22), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 25, 25)]"
"UPBOX.174:AS
odat[8] = idat[32];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 8, 8), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 32, 32)]"
"USBOXKEY.233:CA","[]"
"UPBOX.143:AS
odat[48] = idat[3];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 48, 48), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 3, 3)]"
"USBOXKEY.233:BS
odat = 4'h2;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"UPBOX.171:AS
odat[39] = idat[30];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 39, 39), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 30, 30)]"
"UPBOX.200:AS
odat[30] = idat[57];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 30, 30), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 57, 57)]"
"97:NS
round <= 1;","[('PRESENT_ENCRYPT_TB.dut.round[4:0]', 4, 0)]"
"UPBOX.192:AS
odat[28] = idat[49];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 28, 28), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 49, 49)]"
"USBOX.219:BS
odat = 4'h5;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOXKEY.231:BS
odat = 4'h7;","[('PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0]', 3, 0)]"
"USBOX.217:CS","[]"
"UPBOX.199:AS
odat[14] = idat[56];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 14, 14), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 56, 56)]"
"USBOX.232:BS
odat = 4'h1;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOXKEY.229:CA","[]"
"UPBOX.195:AS
odat[13] = idat[52];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 13, 13), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 52, 52)]"
"95:BL","[]"
"USBOXKEY.218:CA","[]"
"UPBOX.149:AS
odat[18] = idat[9];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 18, 18), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 9, 9)]"
"UPBOX.194:AS
odat[60] = idat[51];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 60, 60), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 51, 51)]"
"UPBOX.152:AS
odat[3] = idat[12];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 3, 3), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 12, 12)]"
"46:AS
dat1 = dreg ^ kreg[79:16];","[('PRESENT_ENCRYPT_TB.dut.dat1[63:0]', 63, 0), ('PRESENT_ENCRYPT_TB.dut.dreg[63:0]', 63, 0), ('PRESENT_ENCRYPT_TB.dut.kreg[79:0]', 79, 16)]"
"Leaf_94:AL","[]"
"USBOX.216:AL","[]"
"USBOX.218:BS
odat = 4'hC;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"UPBOX.206:AS
odat[63] = idat[63];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 63, 63), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 63, 63)]"
"USBOX.228:CA","[]"
"USBOXKEY.231:CA","[]"
"USBOX.231:BS
odat = 4'h7;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"UPBOX.153:AS
odat[19] = idat[13];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 19, 19), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 13, 13)]"
"116:BL","[]"
"86:BL","[]"
"USBOX.227:BS
odat = 4'hE;","[('PRESENT_ENCRYPT_TB.dut.sbox_loop[0].USBOX.odat[3:0]', 3, 0)]"
"USBOXKEY.226:CA","[]"
"UPBOX.151:AS
odat[50] = idat[11];","[('PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0]', 50, 50), ('PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0]', 11, 11)]"
