sig_key,width,toggles
PRESENT_ENCRYPT_TB.dut.sbox_loop[32].USBOX.idat[3:0],4,507 509 478 477
PRESENT_ENCRYPT_TB.dut.sbox_loop[32].USBOX.odat[3:0],4,477 514 499 505
PRESENT_ENCRYPT_TB.dut.sbox_loop[36].USBOX.idat[3:0],4,506 503 521 520
PRESENT_ENCRYPT_TB.dut.sbox_loop[36].USBOX.odat[3:0],4,496 513 479 496
PRESENT_ENCRYPT_TB.dut.sbox_loop[40].USBOX.idat[3:0],4,502 509 516 497
PRESENT_ENCRYPT_TB.dut.sbox_loop[40].USBOX.odat[3:0],4,515 487 496 490
PRESENT_ENCRYPT_TB.dut.sbox_loop[44].USBOX.idat[3:0],4,486 507 489 498
PRESENT_ENCRYPT_TB.dut.sbox_loop[44].USBOX.odat[3:0],4,510 507 517 516
PRESENT_ENCRYPT_TB.dut.sbox_loop[48].USBOX.idat[3:0],4,513 505 480 529
PRESENT_ENCRYPT_TB.dut.sbox_loop[48].USBOX.odat[3:0],4,491 512 489 525
PRESENT_ENCRYPT_TB.dut.sbox_loop[52].USBOX.idat[3:0],4,493 485 526 519
PRESENT_ENCRYPT_TB.dut.sbox_loop[52].USBOX.odat[3:0],4,507 512 485 513
PRESENT_ENCRYPT_TB.dut.sbox_loop[56].USBOX.idat[3:0],4,512 500 513 491
PRESENT_ENCRYPT_TB.dut.sbox_loop[56].USBOX.odat[3:0],4,496 509 525 525
PRESENT_ENCRYPT_TB.dut.sbox_loop[60].USBOX.idat[3:0],4,513 502 502 534
PRESENT_ENCRYPT_TB.dut.sbox_loop[60].USBOX.odat[3:0],4,491 489 521 521
PRESENT_ENCRYPT_TB.dut.UPBOX.idat[63:0],64,499 505 521 521 502 509 525 525 501 516 507 513 513 522 523 525 504 521 523 516 507 489 506 490 520 525 497 496 503 536 507 505 508 511 553 500 490 484 493 503 507 502 467 489 525 539 523 517 506 517 509 494 519 487 526 525 512 498 518 486 469 533 531 516
PRESENT_ENCRYPT_TB.dut.UPBOX.odat[63:0],64,499 502 501 513 504 507 520 503 508 490 507 525 506 519 512 469 505 509 516 522 521 489 525 536 511 484 502 539 517 487 498 533 521 525 507 523 523 506 497 507 553 493 467 523 509 526 518 531 521 525 513 525 516 490 496 505 500 503 489 517 494 525 486 516
PRESENT_ENCRYPT_TB.dut.USBOXKEY.idat[3:0],4,428 519 473 619
PRESENT_ENCRYPT_TB.dut.USBOXKEY.odat[3:0],4,518 500 468 509
