"Node","Matches"
"AES_PPRM1_ENC.EC.MX2.1156:AS
y = { a2[7] ^ b1[7] ^ b3[6], a2[6] ^ b1[6] ^ b3[5], a2[5] ^ b1[5] ^ b3[4], a2[4] ^ b1[4] ^ b3[3] ^ b3[7], a2[3] ^ b1[3] ^ b3[2] ^ b3[7], a2[2] ^ b1[2] ^ b3[1], a2[1] ^ b1[1] ^ b3[0] ^ b3[7], a2[0] ^ b1[0] ^ b3[7], a3[7] ^ b1[7] ^ b2[6], a3[6] ^ b1[6] ^ b2[5], a3[5] ^ b1[5] ^ b2[4], a3[4] ^ b1[4] ^ b2[3] ^ b2[7], a3[3] ^ b1[3] ^ b2[2] ^ b2[7], a3[2] ^ b1[2] ^ b2[1], a3[1] ^ b1[1] ^ b2[0] ^ b2[7], a3[0] ^ b1[0] ^ b2[7], a0[7] ^ b3[7] ^ b1[6], a0[6] ^ b3[6] ^ b1[5], a0[5] ^ b3[5] ^ b1[4], a0[4] ^ b3[4] ^ b1[3] ^ b1[7], a0[3] ^ b3[3] ^ b1[2] ^ b1[7], a0[2] ^ b3[2] ^ b1[1], a0[1] ^ b3[1] ^ b1[0] ^ b1[7], a0[0] ^ b3[0] ^ b1[7], a1[7] ^ b3[7] ^ b0[6], a1[6] ^ b3[6] ^ b0[5], a1[5] ^ b3[5] ^ b0[4], a1[4] ^ b3[4] ^ b0[3] ^ b0[7], a1[3] ^ b3[3] ^ b0[2] ^ b0[7], a1[2] ^ b3[2] ^ b0[1], a1[1] ^ b3[1] ^ b0[0] ^ b0[7], a1[0] ^ b3[0] ^ b0[7] };","[('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.y[31:0]', 31, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b3[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a2[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b1[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b2[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a3[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a0[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 6, 6), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 5, 5), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 4, 4), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 7, 7), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 3, 3), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 2, 2), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 1, 1), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.b0[7:0]', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX2.a1[7:0]', 0, 0)]"
"68:AS
Kvld = ((Kvld_reg == 1'b0) && (Kvld_tmp == 1'b1))? 1'b1 : 1'b0;","[('AES_PPRM1_bench.AES_PPRM1.Kvld', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.Kvld_reg', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX0.b0[7:0]', 7, 0), ('AES_PPRM1_bench.AES_PPRM1.Kvld_tmp', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX0.b1[7:0]', 7, 0)]"
"AES_PPRM1_ENC.EC.MX1.1150:AS
a2 = x[23:16];","[('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX1.a2[7:0]', 7, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX1.x[31:0]', 23, 16)]"
"AES_PPRM1_ENC.1274:IF","[]"
"AES_PPRM1_ENC.1252:AS
Kvld = Kvldrg;","[('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.Kvld', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.Kvldrg', 0, 0)]"
"AES_PPRM1_ENC.EC.1192:AS
sr = { sb[127:120], sb[87:80], sb[47:40], sb[7:0], sb[95:88], sb[55:48], sb[15:8], sb[103:96], sb[63:56], sb[23:16], sb[111:104], sb[71:64], sb[31:24], sb[119:112], sb[79:72], sb[39:32] };","[('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sr[127:0]', 127, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 127, 120), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 87, 80), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 47, 40), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 7, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 95, 88), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 55, 48), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 15, 8), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 103, 96), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 63, 56), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 23, 16), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 111, 104), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 71, 64), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 31, 24), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 119, 112), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 79, 72), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.sb[127:0]', 39, 32)]"
"AES_PPRM1_ENC.1268:IF","[]"
"AES_PPRM1_ENC.EC.MX0.1151:AS
a0 = x[7:0];","[('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX0.a0[7:0]', 7, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX0.x[31:0]', 7, 0)]"
"AES_PPRM1_ENC.EC.MX3.1153:AS
b2 = a2 ^ a1;","[('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX3.b2[7:0]', 7, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX3.a2[7:0]', 7, 0), ('AES_PPRM1_bench.AES_PPRM1.AES_PPRM1_ENC.EC.MX3.a1[7:0]', 7, 0)]"
"64:AS
Dvld_tmp = Dvld_E & ~EncDec | Dvld_D & EncDec;","[('AES_PPRM1_bench.AES_PPRM1.Dvld_tmp', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.Dvld_E', 0, 0), ('AES_PPRM1_bench.EncDec', 0, 0), ('AES_PPRM1_bench.AES_PPRM1.Dvld_D', 0, 0)]"
